Timestamp,ComputerName,Choice,Response
2025-05-26T13:15:21.678227,HOSTNAME,Yes,i can update
2025-05-26T13:16:24.955388,HOSTNAME,Yes,yes i am upgrade
2025-05-26T13:18:17.601054,HOSTNAME,No,catia
2025-05-26T13:46:21.614668,HOSTNAME,Yes,yes
2025-05-26T13:57:39.637078,HOSTNAME\USER,Yes,yes
2025-05-26T15:03:12.054948,HOSTNAME\USER,Yes,how to cal
2025-05-26T15:06:00.404479,HOSTNAME\USER,No,i can upgarde after some time
2025-05-26T15:13:26.419981,HOSTNAME\USER,No,HI
2025-05-26T15:48:37.448316,HOSTNAME\USER,No,hi
2025-05-26T15:54:08.653673,HOSTNAME\USER,Yes,hi
